direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2016/07/11,10.9411,2016/07/21,12.4601,1.5190000000000001,13.883430368061713,1.1388343036806172,5.000000000000003,,2.7766860736123413,9,exit-rule,10.394045,,
long,2016/08/02,10.9485,2016/08/03,10.401074999999999,-0.5474250000000005,-5.000000000000005,0.95,5.000000000000005,,-1,0,stop-loss,10.401074999999999,,
long,2016/08/05,11.019,2016/08/06,10.46805,-0.5509500000000003,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,10.46805,,
long,2016/08/08,10.9135,2016/08/10,12.2298,1.3162999999999982,12.061208594859561,1.1206120859485955,4.999999999999993,,2.4122417189719156,1,exit-rule,10.367825000000002,,
long,2016/08/12,11.6889,2016/08/14,11.104455,-0.5844450000000005,-5.000000000000004,0.95,5.000000000000004,,-1,1,stop-loss,11.104455,,
long,2016/08/16,11.2287,2016/08/26,11.3524,0.12369999999999948,1.1016413298066514,1.0110164132980666,4.999999999999996,,0.2203282659613305,9,exit-rule,10.667265,,
long,2016/08/28,11.147,2016/08/31,11.2386,0.09159999999999968,0.8217457611913491,1.0082174576119134,4.9999999999999964,,0.16434915223826993,2,exit-rule,10.58965,,
long,2016/09/09,11.4125,2016/09/11,12.2079,0.7954000000000008,6.9695509309967205,1.0696955093099672,4.999999999999997,,1.3939101861993448,1,exit-rule,10.841875,,
long,2016/10/08,12.674,2016/10/09,12.0403,-0.6336999999999993,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,0,stop-loss,12.0403,,
long,2016/10/11,11.7624,2016/10/25,11.17428,-0.58812,-5,0.95,5,,-1,13,stop-loss,11.17428,,
long,2016/10/27,11.5312,2016/10/28,10.95464,-0.5765600000000006,-5.000000000000005,0.95,5.000000000000005,,-1,0,stop-loss,10.95464,,
long,2016/10/30,10.4282,2016/11/12,9.90679,-0.5214099999999995,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,12,stop-loss,9.90679,,
long,2016/11/14,10.0982,2016/11/18,9.59329,-0.5049100000000006,-5.000000000000006,0.95,5.000000000000006,,-1,3,stop-loss,9.59329,,
long,2016/11/20,9.66121,2016/11/24,9.1781495,-0.48306050000000056,-5.000000000000006,0.95,5.000000000000006,,-1,3,stop-loss,9.1781495,,
long,2016/11/26,9.41643,2016/11/27,8.9456085,-0.47082149999999956,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,8.9456085,,
long,2016/11/29,8.7287,2016/11/30,8.292265,-0.43643499999999946,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,0,stop-loss,8.292265,,
long,2016/12/02,8.45557,2016/12/03,8.0327915,-0.4227784999999997,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,0,stop-loss,8.0327915,,
long,2016/12/05,7.41059,2016/12/06,7.0400605,-0.37052949999999996,-5,0.95,5,,-1,0,stop-loss,7.0400605,,
long,2016/12/08,8.3835,2016/12/15,7.964325,-0.4191750000000001,-5.000000000000001,0.95,5.000000000000001,,-1,6,stop-loss,7.964325,,
long,2016/12/17,7.85569,2016/12/23,7.4629055,-0.3927845000000003,-5.0000000000000036,0.95,5.0000000000000036,,-1,5,stop-loss,7.4629055,,
long,2016/12/25,7.26485,2016/12/30,8.28988,1.02503,14.10944479239076,1.1410944479239076,5.000000000000002,,2.821888958478151,4,exit-rule,6.9016075,,
long,2017/04/10,43.277599,2017/04/13,46.3106,3.0330009999999987,7.008246922385871,1.0700824692238586,5.000000000000004,,1.4016493844771731,2,exit-rule,41.11371905,,
long,2017/06/27,272.691986,2017/06/29,328.365997,55.67401100000001,20.41644560834289,1.2041644560834288,4.9999999999999964,,4.083289121668581,1,exit-rule,259.0573867,,
long,2017/07/01,293.352997,2017/07/02,278.68534715000004,-14.667649849999975,-4.999999999999991,0.9500000000000001,4.999999999999991,,-1,0,stop-loss,278.68534715000004,,
long,2017/07/04,282.19101,2017/07/05,268.0814595,-14.109550500000012,-5.0000000000000036,0.95,5.0000000000000036,,-1,0,stop-loss,268.0814595,,
long,2017/07/07,270.350006,2017/07/08,256.8325057,-13.517500299999995,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,256.8325057,,
long,2017/07/10,243.011002,2017/07/11,230.8604519,-12.150550100000004,-5.000000000000002,0.95,5.000000000000002,,-1,0,stop-loss,230.8604519,,
long,2017/07/13,231.811996,2017/07/14,220.2213962,-11.590599800000007,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,220.2213962,,
