close,sma5,sma20
11.5713,11.540196933888001,11.835809599999997
11.1948,11.465171701760005,11.7740456
11.2184,11.419911002112002,11.721409600000001
11.1397,11.408670679296003,11.6665256
10.7528,11.411566631936003,11.6380696
10.7561,11.266903893248003,11.600967599999997
10.7487,11.102556436224003,11.566711599999998
11.2474,11.143282621952004,11.547669599999999
11.1792,11.122656184320002,11.528685600000001
11.1209,11.071771972864001,11.516699600000003
11.0306,11.066705116672003,11.507891600000002
11.036,11.050001158144001,11.516383600000001
11.3574,11.059552087552001,11.5329536
11.2954,11.107164588544004,11.556673600000002
11.1482,11.114378459648004,11.551745599999999
10.9293,11.144297148672003,11.551021599999999
10.9838,11.103044069888,11.551745599999999
11.2289,11.120390362368003,11.5671436
11.6724,11.218672429056,11.5902696
11.9949,11.374642718976,11.6201576
12.113,11.565451752960005,11.632153600000002
11.7587,11.595779903232001,11.6282956
11.6799,11.592847073024004,11.628837599999997
11.717,11.588297397760003,11.640003599999998
11.6891,11.615772784384001,11.653097599999999
11.5479,11.635094992640001,11.651673599999997
11.3459,11.636781556480003,11.6295796
11.6528,11.683270462464002,11.609621599999999
12.1685,11.796167483648002,11.559753599999997
11.6384,11.717060645888003,11.506527599999997
11.8937,11.741812159744002,11.489411599999997
11.9187,11.782169205504003,11.451063599999996
11.9232,11.806630689792001,11.449737599999994
11.937,11.81375300864,11.429021599999997
12.5558,11.935050425856,11.423265599999995
12.6986,12.128951761408002,11.421345599999997
12.4312,12.258617491456006,11.420749599999997
13.189,12.373545175552003,11.447011599999996
14.4303,12.819161926400005,11.516785599999999
13.7685,13.012384984320004,11.616409999999998
13.2476,13.060031967232005,11.675483999999999
13.3313,13.116137778432005,11.721253999999998
12.8779,13.151544152832004,11.760303999999998
13.1009,13.160581613824005,11.804700000000002
12.8231,13.057195470592005,11.84293
13.0983,13.167126570752004,11.879988
13.2748,13.355265722368005,11.900598
13.0734,13.210067285504003,11.919202
13.2248,13.143099813888004,11.94988
13.1727,13.160253874944004,11.977764
13.1997,13.107288782080005,12.010332
13.4524,13.206241579008005,12.055484000000003
13.277,13.183107578368004,12.096656000000003
13.0357,13.190562781440004,12.134576000000003
12.8543,13.146999654144004,12.176606000000001
12.6671,13.023988272896005,12.214826000000002
12.2191,12.883331182336004,12.244234000000004
12.0537,12.710412202240004,12.260360000000002
11.7555,12.523053640448005,12.271886000000002
11.7857,12.409499732224006,12.285182000000002
11.9335,12.290757996288004,12.303240000000002
11.963,12.192819659264005,12.32178
11.9382,12.117548631552005,12.333396000000004
11.9834,12.065593346560002,12.347156000000002
11.9516,11.982665135104003,12.363224000000002
12.005,11.964932495872,12.384738000000002
12.5885,12.049622270208,12.416832000000001
12.0226,12.048271191552002,12.432706000000001
12.099,12.078254333440002,12.441238
12.1754,12.101642889728002,12.444848000000002
12.0715,12.092285712128005,12.444018000000003
12.036,12.087095211008002,12.449564
11.969,12.059208045056005,12.455346000000002
11.414,11.937333662720004,12.449286000000003
11.532,11.934582974464004,12.446144000000004
11.4997,11.771652567296002,12.445180000000002
11.0851,11.644596288256004,12.439964000000002
10.4446,11.414851265024001,12.415800000000004
11.1828,11.354495790080003,12.396086000000004
10.9982,11.278471902720003,12.383282000000003
10.7661,11.167004934400005,12.360730000000006
10.7526,11.009633108480003,12.337408000000005
10.801,10.983744178688003,12.314964000000007
11.0907,11.000800110336002,12.298038000000004
11.0025,10.945493418240002,12.266972000000004
10.8735,10.845128279808003,12.230470000000004
10.8088,10.936942150655998,12.198022000000003
10.8337,10.891517127936,12.150916000000004
10.6555,10.813161767680002,12.075420000000003
10.5245,10.753617474816002,12.01054
10.2899,10.667370117888003,11.951386
9.87796,10.548370970112003,11.882319200000001
10.1015,10.447158772480003,11.8267912
9.96648,10.333708931072003,11.764102799999998
10.2175,10.301783257856004,11.711990799999999
10.0591,10.256588627712004,11.6512068
9.99118,10.179589303040004,11.585534400000002
9.47616,10.021320920064003,11.513589600000003
9.66276,9.918121257062403,11.4423488
9.57928,9.7950633547776,11.370480399999998
9.62082,9.790217714739203,11.2989028
9.90572,9.795196094156802,11.2279692
9.84362,9.838572209408003,11.159301599999997
9.23167,9.695931679411201,11.083220999999996
9.40205,9.628039275443202,11.014175999999997
9.32811,9.498928606080002,10.947396199999998
8.99847,9.4238819129088,10.882983599999998
8.72482,9.272865034393602,10.816405999999997
8.17412,9.058691431936001,10.744778399999998
8.58754,9.002699776256003,10.680815199999994
8.4525,8.884324900096,10.611195199999996
7.75996,8.577317381427202,10.527134399999996
7.92134,8.468989921638402,10.446797199999997
7.44368,8.254003878502402,10.356002799999994
6.82166,7.923291570944001,10.253403999999994
7.86893,7.875690575488003,10.170682599999994
8.38148,7.902934757580802,10.086542199999993
8.23051,8.023938099174403,10.010700399999992
8.44601,8.090227717350402,9.937640599999995
8.12516,8.004263028531202,9.856635799999994
8.19362,8.063794479769602,9.779078199999994
8.52221,8.091367143859202,9.708802399999994
8.42285,8.074177603916802,9.637879399999994
8.26523,8.252950283136002,9.574903999999993
7.82847,8.236847522995202,9.500833399999994
7.85821,8.140857168000004,9.428003599999993
7.87659,8.116927654784003,9.363833399999995
7.86532,8.0235423657984,9.312247799999996
7.64382,7.956786438297602,9.241468199999996
7.66004,7.941539753881602,9.174704999999996
7.9144,7.922775929651203,9.117670999999998
7.585,7.8340653454336024,9.054318999999996
7.16615,7.641861341465602,8.981621999999996
7.26577,7.570634708403201,8.905123399999995
7.17508,7.493990688563201,8.828574999999995
7.27409,7.448497917056002,8.756586799999997
7.17082,7.363233106892801,8.683827199999996
