time,open,high,low,close,adj close,volume,sma5,sma20,rsi
2016-08-13T04:00:00.000Z,11.7704,11.7911,11.5118,11.5713,11.571300,7539490,11.540196933888001,11.835809599999997,44.64187205053033
2016-08-14T04:00:00.000Z,11.5833,11.6946,11.0991,11.1948,11.194800,8680160,11.465171701760005,11.7740456,45.79242723388694
2016-08-15T04:00:00.000Z,11.2017,11.3108,11.0001,11.2184,11.218400,7500840,11.419911002112002,11.721409600000001,51.92676081436273
2016-08-16T04:00:00.000Z,11.2287,11.2373,11.0028,11.1397,11.139700,7051510,11.408670679296003,11.6665256,73.02943560545243
2016-08-17T04:00:00.000Z,11.1332,11.1548,10.7486,10.7528,10.752800,8833760,11.411566631936003,11.6380696,55.75394337588084
2016-08-18T04:00:00.000Z,10.7475,11.0091,10.7448,10.7561,10.756100,6935800,11.266903893248003,11.600967599999997,45.57848308195306
2016-08-19T04:00:00.000Z,10.7463,10.8011,10.7279,10.7487,10.748700,5390850,11.102556436224003,11.566711599999998,47.17920883752115
2016-08-20T04:00:00.000Z,10.7501,11.3007,10.7491,11.2474,11.247400,7443540,11.143282621952004,11.547669599999999,55.10664993726475
2016-08-21T04:00:00.000Z,11.2533,11.2538,10.9939,11.1792,11.179200,4355660,11.122656184320002,11.528685600000001,53.69184923569339
2016-08-22T04:00:00.000Z,11.1851,11.3408,11.075,11.1209,11.120900,6588920,11.071771972864001,11.516699600000003,48.14106966882672
2016-08-23T04:00:00.000Z,11.137,11.23,10.898,11.0306,11.030600,6489380,11.066705116672003,11.507891600000002,25.130117618130413
2016-08-24T04:00:00.000Z,11.0243,11.1546,11.0095,11.036,11.036000,4423420,11.050001158144001,11.516383600000001,26.38628220440198
2016-08-25T04:00:00.000Z,11.0313,11.3851,11.0168,11.3574,11.357400,8552380,11.059552087552001,11.5329536,42.46668172577369
2016-08-26T04:00:00.000Z,11.3524,11.4454,11.2113,11.2954,11.295400,5857850,11.107164588544004,11.556673600000002,38.95973307738018
